,排名,球员,球队,得分,命中-出手,命中率,命中-三分,三分命中率,命中-罚球,罚球命中率,场次,上场时间
1,1,斯蒂芬-库里,勇士,32.00,10.40-21.70,48.2%,5.30-12.70,42.1%,5.80-6.30,91.6%,63,34.20
2,2,布拉德利-比尔,奇才,31.30,11.20-23.00,48.5%,2.20-6.20,34.9%,6.80-7.70,88.9%,60,35.80
3,3,达米安-利拉德,开拓者,28.80,9.00-19.90,45.1%,4.10-10.50,39.1%,6.70-7.20,92.8%,67,35.80
4,4,乔尔-恩比德,76人,28.50,9.00-17.60,51.3%,1.10-3.00,37.7%,9.20-10.80,85.9%,51,31.10
5,5,扬尼斯-阿德托昆博,雄鹿,28.10,10.30-18.00,56.9%,1.10-3.60,30.3%,6.50-9.50,68.5%,61,33.00
6,6,卢卡-东契奇,独行侠,27.70,9.80-20.50,47.9%,2.90-8.30,35%,5.20-7.10,73%,66,34.30
7,7,扎克-拉文,公牛,27.40,9.80-19.40,50.7%,3.50-8.20,41.9%,4.40-5.10,84.9%,58,35.10
8,8,蔡恩-威廉森,鹈鹕,27.00,10.40-17.00,61.1%,0.20-0.60,29.4%,6.10-8.70,69.8%,61,33.20
9,9,凯里-欧文,篮网,26.90,10.20-20.10,50.6%,2.80-7.00,40.2%,3.70-4.00,92.2%,54,34.90
10,10,杰森-塔特姆,凯尔特人,26.40,9.40-20.60,45.9%,2.90-7.60,38.6%,4.60-5.30,86.8%,64,35.80
11,10,尼古拉-约基奇,掘金,26.40,10.20-18.00,56.6%,1.30-3.30,38.8%,4.80-5.50,86.8%,72,34.60
12,10,多诺万-米切尔,爵士,26.40,9.00-20.60,43.8%,3.40-8.70,38.6%,5.00-6.00,84.5%,53,33.40
13,13,德文-布克,太阳,25.60,9.30-19.20,48.4%,1.90-5.50,34%,5.10-5.80,86.7%,67,33.90
14,14,特雷-杨,老鹰,25.30,7.70-17.60,43.8%,2.20-6.30,34.3%,7.70-8.70,88.6%,63,33.70
15,15,达龙-福克斯,国王,25.20,9.10-19.10,47.7%,1.80-5.50,32.2%,5.20-7.20,71.9%,58,35.10
16,16,科怀-伦纳德,快船,24.80,8.90-17.50,51.2%,1.90-4.90,39.8%,5.00-5.70,88.5%,52,34.10
17,17,杰伦-布朗,凯尔特人,24.70,9.30-19.20,48.4%,2.80-7.10,39.7%,3.30-4.30,76.4%,58,34.50
18,18,科林-塞克斯顿,骑士,24.30,8.80-18.40,47.5%,1.60-4.40,37.1%,5.20-6.40,81.5%,60,35.30
19,19,朱利叶斯-兰德尔,尼克斯,24.10,8.50-18.60,45.6%,2.20-5.50,41.1%,4.90-6.00,81.1%,71,37.60
20,20,布兰登-英格拉姆,鹈鹕,23.80,8.40-18.00,46.6%,2.30-6.20,38.1%,4.60-5.20,87.8%,61,34.30
21,21,保罗-乔治,快船,23.30,8.20-17.60,46.7%,3.20-7.70,41.1%,3.70-4.20,86.8%,54,33.70
22,22,杰拉米-格兰特,活塞,22.30,7.40-17.30,42.9%,2.10-6.10,35%,5.40-6.30,84.5%,54,33.90
23,23,拉塞尔-威斯布鲁克,奇才,22.20,8.40-19.00,43.9%,1.30-4.20,31.5%,4.20-6.30,65.6%,65,36.40
24,24,德马尔-德罗赞,马刺,21.60,7.50-15.10,49.5%,0.30-1.20,25.7%,6.30-7.20,88%,61,33.70
25,25,吉米-巴特勒,热火,21.50,7.00-14.10,49.7%,0.50-2.00,24.5%,6.90-8.00,86.3%,52,33.60
26,26,帕斯卡尔-西亚卡姆,猛龙,21.40,7.80-17.20,45.5%,1.30-4.40,29.7%,4.40-5.40,82.7%,56,35.80
27,27,马尔科姆-布罗格登,步行者,21.20,7.90-17.50,45.3%,2.60-6.70,38.8%,2.70-3.20,86.4%,56,34.50
28,28,特里-罗齐尔,黄蜂,20.40,7.40-16.40,45%,3.20-8.30,38.9%,2.40-2.90,81.7%,69,34.50
29,28,克里斯-米德尔顿,雄鹿,20.40,7.50-15.80,47.6%,2.20-5.40,41.4%,3.10-3.50,89.8%,68,33.40
30,30,多曼塔斯-萨博尼斯,步行者,20.30,7.80-14.60,53.5%,0.80-2.60,32.1%,3.90-5.30,73.2%,62,36.00
31,31,弗雷德-范弗利特,猛龙,19.60,6.50-16.70,38.9%,3.30-9.10,36.6%,3.20-3.70,88.5%,52,36.50
32,32,托拜厄斯-哈里斯,76人,19.50,7.60-14.90,51.2%,1.30-3.30,39.4%,2.90-3.30,89.2%,62,32.50
33,33,安东尼-爱德华兹,森林狼,19.30,7.00-16.80,41.7%,2.40-7.20,32.9%,2.90-3.80,77.6%,72,32.10
34,34,贾-莫兰特,灰熊,19.10,6.80-15.20,44.9%,1.20-3.80,30.3%,4.30-5.90,72.8%,63,32.60
35,35,小迈克尔-波特,掘金,19.00,7.30-13.40,54.2%,2.80-6.30,44.5%,1.70-2.20,79.1%,61,31.30
