,rank,score,pid,first_name,last_name,tid,team_name,games_played,games_started,minutes,points,field_goals_made,field_goals_att,field_goals_pct,three_points_made,three_points_att,three_points_pct,free_throws_made,free_throws_att,free_throws_pct,offensive_rebounds,defensive_rebounds,rebounds,assists,turnovers,assists_turnover_ratio,steals,blocks,personal_fouls
0,1,30.1,8ec91366-faea-4196-bbfd-b8fab7434795,斯蒂芬,库里,583ec825-fb46-11e1-82cb-f4ce4684ea4c,勇士,79,79,34.2,30.1,10.2,20.2,0.504,5.1,11.2,0.454,4.6,5.1,0.908,0.86,4.6,5.4,6.7,3.3,2.0,2.1,0.19,2.0
1,2,29.0,a52b2c84-9c3d-4d6e-8a3b-10e75d11c2bc,詹姆斯,哈登,583ecb3a-fb46-11e1-82cb-f4ce4684ea4c,火箭,82,82,38.1,29.0,8.7,19.7,0.439,2.9,8.0,0.359,8.8,10.2,0.86,0.77,5.3,6.1,7.5,4.6,1.6,1.7,0.62,2.8
2,3,28.2,53f2fa48-e61b-49fb-843d-8a3e872257eb,凯文,杜兰特,583ecfff-fb46-11e1-82cb-f4ce4684ea4c,雷霆,72,72,35.8,28.2,9.7,19.2,0.505,2.6,6.7,0.387,6.2,6.9,0.898,0.63,7.6,8.2,5.0,3.5,1.4,0.96,1.2,1.9
3,4,26.9,cbb21aed-9716-44a2-b0e4-54ce09333b94,德马库斯,考辛斯,583ed0ac-fb46-11e1-82cb-f4ce4684ea4c,国王,65,65,34.6,26.9,9.3,20.5,0.451,1.1,3.2,0.333,7.3,10.2,0.718,2.4,9.1,11.5,3.3,3.8,0.86,1.6,1.4,3.6
4,5,25.3,0afbe608-940a-4d5d-a1f7-468718c67d91,勒布朗,詹姆斯,583ec773-fb46-11e1-82cb-f4ce4684ea4c,骑士,76,76,35.6,25.3,9.7,18.6,0.52,1.1,3.7,0.309,4.7,6.5,0.731,1.5,6.0,7.4,6.8,3.3,2.1,1.4,0.64,1.9
5,6,25.1,5382cf43-3a79-4a5a-a7fd-153906fe65dd,达米安,利拉德,583ed056-fb46-11e1-82cb-f4ce4684ea4c,开拓者,75,75,35.7,25.1,8.2,19.7,0.419,3.1,8.1,0.375,5.5,6.2,0.892,0.6,3.4,4.0,6.8,3.2,2.1,0.87,0.37,2.2
6,7,24.3,ea8826b8-1f76-4eab-b61e-ffcb176880f3,安东尼,戴维斯,583ecc9a-fb46-11e1-82cb-f4ce4684ea4c,鹈鹕,61,61,35.5,24.3,9.2,18.6,0.493,0.57,1.8,0.324,5.3,7.1,0.758,2.1,8.2,10.3,1.9,2.0,0.96,1.3,2.1,2.4
7,8,23.5,5e86a9c3-b4d0-4fe1-a551-acd83e5d60eb,德玛尔,德罗赞,583ecda6-fb46-11e1-82cb-f4ce4684ea4c,猛龙,78,78,35.9,23.5,7.9,17.7,0.446,0.6,1.8,0.338,7.1,8.4,0.85,0.82,3.7,4.5,4.0,2.2,1.8,1.0,0.27,2.1
8,8,23.5,74a45eed-f2b0-4886-ae71-d04cf7d59528,拉塞尔,威斯布鲁克,583ecfff-fb46-11e1-82cb-f4ce4684ea4c,雷霆,80,80,34.4,23.5,8.2,18.1,0.454,1.3,4.3,0.296,5.8,7.2,0.812,1.8,6.0,7.8,10.4,4.3,2.4,2.0,0.25,2.5
9,10,23.1,db09f372-9a17-4889-add7-bf8a75ab6da6,保罗,乔治,583ec7cd-fb46-11e1-82cb-f4ce4684ea4c,步行者,81,81,34.8,23.1,7.5,17.9,0.418,2.6,7.0,0.371,5.6,6.5,0.86,0.98,6.0,7.0,4.1,3.3,1.2,1.9,0.36,2.8
